,productid,title,price,description,console,console_Game Boy Advance,console_Game Boy Color,console_GameCube,console_Nintendo 64,console_Nintendo DS,console_Nintendo Wii,console_PC & Mac,console_PlayStation,console_PlayStation 2,console_PlayStation 3,console_PlayStation Portable,console_Sega Dreamcast,console_Sega Genesis,console_Super Nintendo,console_Xbox,console_Xbox 360,price_normalised,average_score,average_bert_pred_prob_pos,average_bert_pred_prob_nonpos,average_sentiment_vader,review_counts,average_sentiment_score,average_sentiment_label,adjusted_average_score,adjusted_average_sentiment_score,adjusted_average_sentiment_label,adjusted_average_bert_pred_prob_pos,adjusted_average_bert_pred_prob_nonpos,adjusted_average_sentiment_vader
112,B00004TSXC,Neverwinter Nights,3.99,"neverwinter nights isnt simply another computer game its a  dungeons  dragons computer game as well as all the tools youll need to create your own dungeons  dragons adventures neverwinter nights is an achievement it accomplishes what computer roleplaying games set out to do when wizardry debuted in the late 70s recreate the social handson experience of tabletop gaming neverwinter nights uses the dungeons  dragons 3rd edition rules in nearly all their complex glory its the first game to attempt to fully support d 3es customizable features and more significantly its the first game designed to recreate the experience of playing tabletop d you can play biowares extensive campaign alone or online with your friends or you can use the included aurora toolset to build your own adventure module and run it for your buddies with all the control youd have if you were running a tabletop game the powerful dungeon master client lets you put words in nonplayer characters mouths control monsters alter the game world and customize your adventure on the fly if playing is your thing you can join other peoples games and play through encounters with other gamers around the world everything works as it should and the game is beautiful to behold bioware has used a limited 3d engine to allow you to spin your viewpoint around your character and zoom in on the action during combat mages unleash spectacular spells priests raise their symbols to drive undead hordes back and rogues tinker with locked chests while fighters dodge parry and strike ferociously at any attacking beasts the sound is topnotch with biowares typically highquality voice acting and music from composer jeremy soule but all isnt perfect the game makes a great effort of implementing the full d 3rd edition rules but doesnt quite succeed in nwn paladins lose their detect evil and mount abilities druids can shape change into animals but cant change back to human form at will darkvision has no noticeable ingame effect troublesome issues for hardcore d fans but its understandable that some changes would have to be made in order to shoehorn a freeform tabletop rpg into a computer program other issues are not so easy to understand the camera controls are simple and will not allow the user to lower to decrease the camera angleyoull never get anything approaching a characterseye view of the world moving to a new section within a building or going from an indoor to an outdoor area takes you out of the game and presents you with a mercifully short loading screen there is an artificial limitation on how many henchmen you can hire in the singleplayer game youre limited to one hireling and baldurs gate fans will miss the squabbling party from earlier games more significant are the problems that arise from trying to recreate a social experience like d in a computer game multiplayer games with strangers are confusing and not as fun as they sound and like the tabletop game theyre really only as fun as the players and especially the dm youre playing with multiplayer nwn is only worthwhile if you have a dedicated group and a dm that knows what he or she is doing the last drawback is the documentation the manual is large and detailed but it omits key help in module creation you have to buy a separate  strategy guide if you want that information but though slightly flawed nwn has indisputably won the holy grail of rpg gaming getting the dungeons  dragons experience into a personal computer the included campaign is fascinating and the tools are powerful enough to ensure a steady stream of module content from devoted fans make no mistake neverwinter nights is an achievement and will likely change the way crpgs are played from now on its a game no rpg fan no d fan should miss bob andrews  pros  almost perfect implementation of d 3e rules deep singleplayer game intriguing multiplayer game powerful module creation tools  cons  not quite perfect implementation of d 3e rules loading screens inflexible 3d camera only one henchman multiplayer is dependant on quality players and dm	explore the fastpaced singleplayer campaign or create your own unique path with the included aurora toolset and invite others to play",PC & Mac,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1.175658434,3.535714286,0.487844248,0.512155755,0.497328571,28,1,Positive,3.535714286,1,Positive,0.487844248,0.512155755,0.497328571
113,B00005Y4Q1,Unreal 2: The Awakening,4.5,"unreal ii the awakening returns to the fascinating futuristic setting of unreal first visited in 1998 since then weve had to content ourselves with the excellent unreal tournament multiplayer combat series for this first true sequel epic games hired legend entertainment who made a name for themselves with the unreal return to na pali expansion pack and the woefully underrated wheel of time game based on the books by robert jordan the result is fun and frantic if a bit too shortlived unreal iis best feature is its lush graphics engine its state of the art all the locations which range from bizarre alien worlds to those based on the film alien exude dynamic realism human and alien characters are wellanimated and rendered but have a cartoonish exaggeration that clashes with the realism of the architecture the designers were undoubtedly shooting for a comicbook look which explains why the women look like blowup dolls with bare midriffs and the men have hulking muscles the monsters too ripple with strength and menace this style will please some but is less effective than the more realistic styles employed by similar titlesalthough at least the art direction is consistent throughout the game unreal cast you as a prisoner whothrough both good and bad luckwas freed from confinement but marooned on an alien world he goes on to become a sort of messiah figure to the fourarmed natives while other scarier natives want to kill him it ends with a cliffhanger that this game does nothing to resolve now you play as a new character who works for the terran colonial authority youre a space marshal on the ship atlantis you and your buxom partner who looks more like an exotic dancer than a police woman have to solve problems in a game only tenuously connected with the original unreal core gameplay and mission design are good but uninspired legend has taken a conservative almost minimalist approach theyve made a solid shooter that takes full advantage of epics stateoftheart graphics engine but did nothing to set the shooter apart from the crowd one hopes that unreal ii the awakening awakens epic to the fact that unreal is a genuinely interesting franchise that deserves more andrew s bub pros  gorgeous graphics decent gameplay  cons  amateurish if consistent art design too short	youll need all the skill and courage you can muster as you engage in firefights hostage rescue enemy assault stealth infiltration searchanddestroy sorties and much more",PC & Mac,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1.147972125,2.6,0.435990838,0.564009162,0.521366667,15,0,Non-Positive,2.6,0,Non-Positive,0.435990838,0.564009162,0.521366667
115,B00006ZCCW,FIFA Soccer 2003,22.97,"fifa soccer 2003 lets you play with all the best clubs players and national teams the club championship highlights the top 18 club teams with intense detail including teamspecific stadiums and chants you will have total ball control use your feet and head to control the ball like never before you will also be able to use free kicks and corner kicks to set up a shot or even score directly computer opponents will adopt tactics based on the real game situations	all the speed style and passion of the worlds game come alive in fifa soccer 2003 take to the field and battle it out against the toughest teams from around the globe this is soccer gaming that lives by the rules of the real sport and puts you in a world of true soccer detail and culture control the ball and you control the game",PlayStation 2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.145293442,4.2,0.570027774,0.429972252,0.85476,5,1,Positive,3.4,1,Positive,0.523342591,0.476657417,0.618253333
116,B000JLL3UQ,Phoenix Wright Ace Attorney - Justice for All,39.99,the second game in the popular court room battle series from japan introduces four new cases featuring new characters plot twists and gameplay features players resume the role of phoenix wright a defence attorney who must prove his client s innocence against the toughest of odds and most ruthless of adversaries players must exercise their legal prowess as they collect evidence examine witnesses analyse testimonies and seek the truth to ensure that justice prevails the game is characterised by its memorable characters engaging storylines and unique gameplay format all presented in a comical anime stylefeaturesplay from the first person perspective through four shocking new casestwo distinct gameplay segments investigation phase   survey crime scenes interview witnesses and gather evidence that will be used in court court phase   present findings from the investigation to support your case listen to testimonies examine witnesses and determine what is fact from fiction so you can prove your client s innocencenew  psychelock  feature   some witnesses may be keeping the truth under tight lock and key aka the  psychelock  state so in order to break them down successfully open up their psyche locks with a series of correct questions or catch them on their inconsistent testimonynew life bar represents phoenix s status in court   by presenting incorrect evidence or following misguided attempts to break psyche locks phoenix s life bar will go down the only way to regain this stat is to successfully open a witness s psychelockuse the ds touch screen to navigate the game s interface and become deeply involved in court room proceedings by using the microphone to yell  objection   take that  and morecolourful cast of characters include both new and familiar facesformat nintendo ds genreactionadventure upc013388320066 manufacturer no32006,Nintendo DS,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.778669264,4.25,0.582703985,0.417296009,0.955375,8,1,Positive,3.555555556,1,Positive,0.536757327,0.463242671,0.702388889
117,B00005LABK,Star Wars Jedi Knight 2: Jedi Outcast,5.85,"in the tradition of the multiawardwinning star wars jedi knight star wars jedi knight 2 jedi outcast features rebel agent kyle katarn in exhilarating firstperson action several years have passed since kyle avenged his fathers death and saved the valley of the jedi from jerec and his band of dark jedi allowing his force powers to languish for fear of falling to the dark side kyle entrusted his lightsaber to luke skywalker vowing never to use it again but when a new and menacing threat to the galaxy emerges kyle knows he must reclaim his past in order to save his future lucasarts is developing jedi outcast in partnership with activisions critically acclaimed raven software players assume the role of kyle as they employ a unique mix of weapons force powers and the lightsaber in both single and multiplayer modes jedi outcast features expanded and enhanced use of the lightsaber with new attack and defense moves tap into the powers of the force including jump push jedi mind tricks and more employ combat or stealth depending on the situation when a fight is necessary be at the ready with an arsenal of weapons stun baton bryar blast pistol and blaster rifle to name but a few explore breathtaking star wars locales such as cloud city the jedi academy on yavin 4 nar shaddaa the smugglers moonplus some neverbeforeseen locations multiplayer options include deathmatch saberonly deathmatch and team capture the flag	youll get to assume the role of kyle as you wield a unique mix of weapons force powers and your lightsaber in both single and multiplayer modes plus your choice combat or stealth  depending on the situation when a fight is necessary be at the ready with an arsenal of weapons",PC & Mac,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1.074684836,4.518518519,0.704261289,0.295738705,0.43092963,27,1,Positive,4.518518519,1,Positive,0.704261289,0.295738705,0.43092963
118,B00004Y57G,Final Fantasy IX,14.73,"to read our interview with the final fantasy ix creators click  here  as with the other games in the series final fantasy ix has the  ability to grab your attention from the time you fire it up until the last boss  is put down previous entries into the games lineage took a more dramatic  cinematic route to do what a roleplaying game does besttell a story that  style led to some complaints from headstrong fans and roleplaying gamers alike  in response to this while not sacrificing what new technology theyve built  into the series squaresoft has backtracked a bit to put it simply theyve  gone back to their roots while forging ahead  when we last left the final fantasy characters princess garnet was  starting to break out of her shell and put to rest the notion that she was a  snob the kidnapping attempt by zidane oddly enough started a few new  friendships story elements continuously roll on never leaving you to wonder  for too long vivi you may remember started out as a black mage and the queen  of alexandrias story was left far from finished as well  but even players with no experience in this series can pick this up as a new  game final fantasy ixs story follows a group trying to stop brahne the  evil queen of alexandria in her quest to rule the world zidane a skilled  thief teams with a young mage a royal knight and a princess who all soon  discover that the queens threats are fronting an even more sinister plot  involving a powerful sorcerer named kuja its your job to control the eight  playable characterseach of whom begin the game with one weapon one piece of  armor and one special powerand to uncover kujas motives before he carries  out his deadly plan  the games opening sequence sets the stage for whats to follow and as weve  come to expect from the cg wizards at squaresoft what is an utterly amazing  visual scene longtime fans should go gaga over squaresofts decision to  return to the disproportionalcharacter look of the past while the change in  the last game was interesting realistic characters didnt quite work well  within the established final fantasy universe with the beloved wizards  returned the entire look is now much more medieval did anyone say  chocobo  like vii and viii final fantasy ix uses the atb active  time battle system each character learns the abilities and commands  appropriate to his or her job class there are two major ability types support  and action action abilities use magic points mp and include commands such as  black magic steal white magic and summon characters can go into trances  after repeated physical attacks from enemies when the trance gauge located  below the atb gauge reaches maximum capacity the character goes into a trance  the commands change and the characters attacks become more powerful up to  four characters can be in the active party but players can summon guardian  forces called eidolons into battle in final fantasy ix many of the  eidolons from final fantasy viii return in this game including  carbuncle bahamut odin ifrit shiva and naturally leviathan  an active time event ate lets you see events that are happening elsewhere for  example while you are controlling the main character in a town you can view  what the other characters are doing in another part of the same town this  function provides additional information and behindthescenes details about the  story and the characters you can only view ates when the ate option appears  onscreen however  the games visual splendor touches even the most ordinary scenes such as  shadows in the street alleys and the mazes of cobblestones final fantasy  ixs color palette does a remarkable job in creating interest on every  single object location and person  squaresoft claims their intention in final fantasy ix as the last  singledigit game in the series was to assert the idea of progress not  satisfied with looking back at previous accomplishments they simply explain  that this is just the beginning but to that end this will truly be the final  fantasy on the playstation as the series heads to greener pastures of the  nextgeneration consoles  with its awesome graphics a good story and random battles that reveal curious  bits about each character final fantasy ix is an epic adventure thatll  have longtime fans of the acclaimed series beaming with pride and joy as for  everyone else who has yet to experience the fantasy now is the time	this is the game final fantasy ix for the playstation 1 this game may not come with the original case and instructions we stand by our products and offer a 60 day guarantee if a game does not work within 60 days from the time you receive it we will gladly exchange it for you",PlayStation,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.592617337,4.48,0.69292826,0.307071741,0.818272,75,1,Positive,4.48,1,Positive,0.69292826,0.307071741,0.818272
119,B000GHK3TA,The Sims 2 Glamour Life Stuff,48.65,indulge in a glamorous life with this collection of luxurious furniture fashionable clothing and dazzling dcor items  redesign your sims home with modern bedroom living room and dining room sets or turn head with elegant gowns suave formalwear and cool casual styles  live the good life,PC & Mac,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.248793649,3,0.532316073,0.467683928,0.8338,6,0,Non-Positive,3,0,Non-Positive,0.512118528,0.487881473,0.625175
121,B0007M226G,Lego Star Wars,83.99,"the worlds most successful film series meets the worlds most successful toy in the epic video game lego star wars this brilliantly conceived alliance blends the unique world and designs of lego play materials with the unforgettable characters stories and vehicles of the prequel eras of the star wars universe  play the most memorable and exhilarating scenes from the phantom menace attack of the clones and the forthcoming episode iii revenge of the sith including pod racing on mos espa the repelling of the droid onslaught in the genosian arena and obiwan kenobi and quigons fatal fight with darth maul besides controlling the likes of obiwan kenobi yoda anakin skywalker and r2d2 notorious darkside enemies such as jango fett darth maul and count dooku appear in thrilling showdowns as you progress through the game you unlock many new characters including those from the dark side and you must switch between them to solve puzzles using their special abilities  in addition to a singleplayer mode there is a drop in drop out twoplayer cooperative mode allowing a second player to enter or leave the action whenever they want there is also a freeplay mode where unlocked characters can be played in different scenarios to those of the films this adds immeasurably to the games replayability and there are further incentives to complete the game for budding jedi knights in the form of hidden levels and vehicles  features  play the most memorable and exciting scenes from episode i the phantom menace episode ii attack of the clones and the forthcoming episode iii revenge of the sith choose from over 30 of your favorite star wars characters ranging from the legendary jedi knight obiwan kenobi to everyones favorite wookiee chewbacca to the evil villains of revenge of the sith every character has unique weapons and abilitieswhich provides for a different gameplay experience every time use the force to manipulate environments and objects in order to solve puzzles massive array of vehicles including naboo fighters pod racers speeder bikes and yettobeunveiled vehicles from episode iii revenge of the sith twoplayer drop in drop out mode freeplay mode where unlocked characters can be played in different scenarios to the films goodies that can be used to unlock a world full of secrets cheats and bonuses authentic sounds from the films provided by skywalker studio created by highly successful young gamers developer travellers tales	this is the game lego star wars the video game for the xbox this game may not come with the original case and instructions we stand by our products and offer a 60 day guarantee if a game does not work within 60 days from the time you receive it we will gladly exchange it for you ",Xbox,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.167292006,4.428571429,0.720767813,0.279232196,0.7313,7,1,Positive,3.588235294,1,Positive,0.590904394,0.40909561,0.595241176
122,B0000B0MNH,Spider-Man 2,23.97,spiderman is back for another webslinging crime fighting smash hit based on the plot of the movie spiderman 2 doctor octopus and his henchmen strike the city manhattan with fear and its up to you to stop them use spideys webcrawling abilities spidersense super strength and soaring jumping power to bring justice where its due features a realistically modeled manhattan complete with massive skyscrapers and pedestrians on the streets below travel anywhere in search of petty crimefighting opportunities as well as the nefarious doc ock,PlayStation 2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.091006561,4.4375,0.686674411,0.313325586,0.78081875,16,1,Positive,4.4375,1,Positive,0.686674411,0.313325586,0.78081875
123,B000FQBPDU,Metroid Prime 3: Corruption,55.99,you are samus with wii control by moving around with the nunchuk and aiming samuss gun with the wii remote youll do more than look through the eyes of samusyoull experience a quantum leap in firstperson control fire on the run grapple enemies and yank off their shields or manipulate machinery with movements of the nunchuk and wii remoteit all adds up to a level of immersion only possible on the nintendo wii and the best firstperson controls on any platform period   corruption is everywhere dark samus samuss longtime nemesis is corrupting entire planets by launching enormous seeds called leviathans into them samus must travel to multiple planetseach with unique alien landscapes and dangersto fight the corruption and track several other bounty hunters all the while fighting the spreading phazon that threatens to take over her body completely as it corrupts her it also grants her incredible powers    enter hypermode samus will employ a neverbeforeused device called a phazon enhancement device ped that harnesses the phazon within her and puts her into a state called hypermode in hypermode samus can destroy phazon impediments and annihilate enemies with superpowered weaponsbut it drains her health to use it and she risks utter corruption if she doesnt empty her phazon meter within a certain time frame youll need to carefully balance your need for ultimate power with the inherent danger of corruption,Nintendo Wii,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.647259352,4,0.582217482,0.417782539,0.22178,5,1,Positive,3.333333333,1,Positive,0.527405827,0.47259418,0.40726
124,B00005NCCI,Crash Bandicoot: The Wrath of Cortex,49.77,"crash bandicoot the wrath of cortex the first playstation2 installment in the crash bandicoot series delivers the same mix of intuitive gameplay and elaborate adventure that fans have come to expect offering many enhancements and allnew environments and missions neo cortex is back and he means to rid himself of crash once and for all to energize his most diabolical creation to date cortex channels the power of the elementals a group of renegade masks with the destructive power of air earth water and fire to stop the elementals and cortexs new weapon crash or coco a fully playable character for the first time will face five game hubs 25 dynamic levels and five unique bosses as well as a new character that will rock the crash worldyou can complete specific levels of the game to play as crashs fiery sister coco will have a wide variety of moves and animations tailored to fit her personality new freeroam sections will be implemented within certain levels of the game these sections feature puzzles and hidden areas never before seen in a crash game new bosses and minibosses offer up a noahs arksized list of new creatures the game also has an allnew graphics engine that brings vivid life to environments and characters like never before	one of playstations biggest stars is coming to playstation2 crash everyones favorite orange bandicoot returns for more of his signature 3d play lead crash around obstacles and pitfalls to collect treasures and defeat the evil dr neo cortex features lots of colorful and crazy levels including driving challenges with wild vehicles made in usa",PlayStation 2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.309594956,3.307692308,0.483655786,0.516344224,0.407261538,13,1,Positive,3.307692308,1,Positive,0.483655786,0.516344224,0.407261538
125,B00005V9DX,Hitman 2: Silent Assassin,3.99,"step into the world of a coldblooded killer for hire hunting and stalking your prey in a deadly game of cat and mouse obtain a disguise find a way in and silently finish the job unnoticedor kick down the front door with guns blazing and take everybody out its completely up to you how to fulfill the contract be warned some of your targets are heavily guarded as well as completely paranoid theyll be expecting you	death is his business and business is goodproduct informationenter the realm of a retired assassin forced back into action by treason youmay be a hired killer but you still have a sense of loyalty and justicevisit the dark recesses of a world corrupted by crime greed degradation anddishonor and a past that catches up with youtrust no one  if the price is right the finger of your most trusted allywill be on the trigger your targets may hide in the most remote areas ofthe pla but their destruction is never prevented  only postponedlearn your trade  master your tools  overe your obstacles  outsmartyour enemies  eliminate your targets remember  rash decisions bleedconsequences know when to strike instantly know when to take your time chancefavors the prepared player failure is not an option  it is a privilegereserved for those who do not try hard enoughyou have returned  and you will track down the organization that forced youout of retirement you may find that the enemy is closer than you think retrace your steps and you will prevail investigate target location find an entry point subdue the opposition disguise yourself eliminate the target exit undetectedproduct features completely openended game play experience that allows you to balance surgical precision with visceral violent outbursts a deadly game of disguise allows you to assume the identity of your victims lethal arsenal at your disposal to make every kill an experience to savor massively upgraded game engine features in mission saves selectable first and third person playable perspectives and enhanced graphicsproduct reviewstravel the world meet interesting peopleand kill them  gamespyminimum requirements windows 98mexp pentium iii 450mhz or equivalent 128mb ram directx 81 patible graphics card directx 81 patible sound card 16x cdrom drive keyboard mouse 800mb of free hard drive spaceremend",PC & Mac,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1.175658434,4,0.53104001,0.468959985,0.581625,4,1,Positive,3.285714286,1,Positive,0.508868574,0.491131424,0.523321429
126,B00005ME68,NCAA Football 2K2,45.89,ncaa college football 2k2 brings the thrill of ncaa football to your dreamcast rich with features it boasts a number of play modes including createaplay and multiplayer dynasty modes as a single player you can go for a bowl spot and try to rocket your team to the national championship the feature that really gives this release a college feel however is the chance to run plays drawn from real ncaa playbooks,Sega Dreamcast,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.098961859,2.5,0.423898022,0.576101965,0.731775,4,0,Non-Positive,2.857142857,0,Non-Positive,0.478256578,0.521743419,0.566221429
127,B00006IJJK,Metroid Prime,49.99,samus enters a mysterious derelict ship on the unexplored world of tallon iv to investigate space pirate activities she has thwarted their dastardly efforts before she stopped them from amassing an army of metroids and she kept mother brain from retrieving the last known metroid larva now she must face the space pirates once again in an allnew adventure,GameCube,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.321538069,4.728813559,0.664376969,0.335623029,0.732679661,59,1,Positive,4.728813559,1,Positive,0.664376969,0.335623029,0.732679661
128,B00006LEM9,Lord of the Rings: Fellowship of the Ring,29.98,"for even the mildest fans anything related to this beloved book deserves topnotch treatment vivendis officially authorized the lord of the rings the fellowship of the ring falls disappointingly short of that goal the game is intriguing enough credit the source material to play through entirelyonce for the cost of the game you are guaranteed a reasonably pleasurable 10 hours of gameplay after that it will likely sit on your shelf there are good things in this game the rpg mechanics are fine at various points in the story you play as frodo aragorn and gandalf the visuals are beautiful in parts and certain aspects of game design are fantastic gandalfs magiccasting stands out little touches make it appealing to true fans like when aragorn receives the repaired sword of elendil and it glows during fighting it would be a great game for even nonlotr fans to play since a good deal of backstory is provided in lengthy cinematics throughout the game fellowships greatest asset of course is the story itself as well as the bevy of villainous creatures that provide great bossfight material im sure many other games wished they had a balrog to offer but the story deviates strangely from the book in order to satisfy the format of an rpg game the final bossfight which we wont spoil here is completely unrelated to anything devised by jrr tolkien and it seems hollow strange and unsatisfying the puzzles sprinkled throughout the game are random and often frustrating as is your first encounter with the ringwraiths inevitably you die many timestoo steep a difficulty curve right out of the gate this game is still strongly recommended but with many caveats proceed with caution and youre likely to enjoy yourself expect a masterpiece and youll be wishing you saved your money for a different ps2 title jennifer buckendorff pros  great story and great characters of course missions that require problemsolving as well as combat gorgeous maps getting to play as gandalf  cons  painfully long cutaway scenes cheesy ending oftentedious fights	guide frodo baggins and the characters of the fellowship of the ring through the villages countryside and dark forests of middle earth in the fellowships great quest to protect the ring meet all the characters of jrr tolkiens first book of the lord of the rings and share in their journey and direct their actions but youll need all your wits and best strategy to elude the terrifying servants of the dark lord who seek to claim the ring for their own evil purposes",PlayStation 2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.23525759,3.4,0.449900174,0.55009981,0.43585,10,1,Positive,3.4,1,Positive,0.449900174,0.55009981,0.43585
129,B00005BW7Q,Xenosaga,52.95,"the ambitiously named xenosaga episode 1der wille zer macht is an epicsized space opera that opens in the outer reaches of the galaxy the story follows several spacedwelling citizens as they aim to unlock the secrets of the universe the specifics of those secrets presumably will be revealed over subsequent editions of the xenosaga series after all this is only episode 1but a vital clue is held in the elusive zohar a mysterious artifact that is aggressively sought by evil aliens without spoiling the plots surprising twists lets just say the games german subtitle der wille zur macht translated as the will to power is a lessthansubtle ode to german philosopher friedrich nietzsche who is considered as one of the precursors of existentialism  like many conventional rpg titles xenosagas gameplay balances between exploration and battle modes the game designers have thankfully spared players from any illconceived random battle sequences instead you can concentrate directly on your quest without the repetitious enemy battles  the designers also did a good job balancing a traditional rpg structure with complex themes however the game seems to go out of its way to casually integrate controversial and frankly creepy religious imagery into the context of the game some may find the game offensive and disturbing others will likely find it intellectually stimulating  namco promises about 80 hours of gamingbut a good portion of that is noninteractive fullmotion video while the stretchedout cutscenes do add considerable depth to the characters theyre often poorly paced and too longone takes an alarming 30 minutes to unfold the addition of more background music might have helped to pick up the pacing since the obligatory soundtrack is strangely absent at some critical plot points  with impressive animation and unexpected plot points xenosaga episode 1der wille zer macht is easily one of the more enjoyable rpg titles to hit the ps2 while this isnt for the happygolucky gaming crowd see kingdom hearts adultminded gamers will likely be consumed by the darkness and devious delights offered within this twisted title brett atwood  pros complex characters and story themes no random battle sequences impressive 3d animation cons long long looooooooong cut scenes	ingame database tracks game information",PlayStation 2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.482227236,4.315789474,0.651792483,0.348207508,0.873989474,19,1,Positive,4.315789474,1,Positive,0.651792483,0.348207508,0.873989474
130,B00005LOXE,Final Fantasy Chronicles (Chrono Trigger and Final Fantasy IV),16.99,"the two classic rpgs in this compilation not only represent hours upon hours of story character and action they also present the background for two recent bestselling critically hailed games final fantasy ix and chrono cross with all the different names for the original 1991 release of the first title in this compilation final fantasy iv in japan final fantasy ii in the us roleplayers new to the game may get confused make no mistake though final fantasy chronicles marks the first time this pivotal installment of the cherished game series has ever been available on the playstation in final fantasy iv players take on the role of cecil a loyal captain who questions the orders of his king and for it is sent to slay a mysterious beast in a nearby valley in chrono trigger chrono must follow princess marles teleportation through time and locate her before an intergalactic parasite arrives to destroy the world the original game also on the playstation for the first time was one of the first nonlinear roleplaying games the decisions that players make during the game will point them toward one of more than a dozen possible endings these new versions retain the authentic japanese snes stories and characters while updating their graphics and adding new fullmotion video sequences and other features	this old school compilation from square includes final fantasy iv known as ff2 as a 1991 us snes release which introduced the active time battle system and chrono trigger 1995s precursor to the wildly popular chrono crossformat psx genrerpg vg  ratingt  teen upc662248901015 manufacturer no9796",PlayStation,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.469928987,4.578947368,0.599217547,0.400782452,0.738136842,19,1,Positive,4.578947368,1,Positive,0.599217547,0.400782452,0.738136842
131,B00005NSUQ,Heroes of Might and Magic 4,14.95,"in heroes of might and magic 4 players will command armies composed of skillful heroes and fantastic creatures that fight enemies capture towns and collect vital resources and artifacts strategic planning and tactical cunning are instrumental in your goal to be the undisputed ruler of the new world the game features heroes who are active participants in combat six massive campaigns and dozens of standalone scenarios a campaign editor with a map maker that allows terrain deformation and an allnew magic system with five highly specialized schools of magic	this stellar new addition combines proven awardwinning gameplay with an allnew stateoftheart engine it showcases a highly detailed fantasy world where players will be immersed in a battle for territory and resources rise to the challenge by commanding armies of skillful warriors and fantastic creatures",PC & Mac,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.580674224,4.166666667,0.537308313,0.462691671,0.83355,6,1,Positive,3.4375,1,Positive,0.513990618,0.486009377,0.62508125
